claim_id,claim,status,scope,manuscript_location,evidence_files,missing_files,boundary,action
C01_baseline_connected_pore_skeleton,"The 10,000-particle Li4SiO4 bed has a connected baseline pore skeleton.",supported,manuscript_core,Abstract; Results baseline topology; Fig. 2,papers/paper2_voxel_topology_clogging/tables/paper2_fig1_baseline_topology_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_fig2_box_counting_source.csv; papers/paper2_voxel_topology_clogging/figures/paper2_fig2_baseline_voxel_topology.pdf,,DEM-derived voxel reconstruction only; not experimental CT.,none
C02_drag_to_weight_controls_migration,Increasing drag-to-weight ratio shifts debris downstream and increases weak breakthrough.,supported,manuscript_core,Results representative states; Fig. 3,papers/paper2_voxel_topology_clogging/tables/paper2_fig3_representative_state_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_mechanism_evidence_matrix.csv; papers/paper2_voxel_topology_clogging/tables/paper2_drag_scaling_source.csv; papers/paper2_voxel_topology_clogging/supplementary/table_s18_drag_scaling_summary.csv; papers/paper2_voxel_topology_clogging/figures/paper2_fig3_representative_debris_blockage.pdf,,Representative states and current parameter window; one-way Stokes-scale forcing is audited in S18 but is not resolved pore-scale gas flow or a universal law.,none
C03_breakthrough_not_clogging,Weak breakthrough can occur without measurable pore-network clogging.,supported,manuscript_core,Title; Abstract; Results; Discussion; Supplementary Figs. S20-S21,papers/paper2_voxel_topology_clogging/tables/paper2_fig3_representative_state_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_fig4_loading_summary_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_mechanistic_decoupling_matrix.csv; papers/paper2_voxel_topology_clogging/tables/paper2_observable_response_cases.csv; papers/paper2_voxel_topology_clogging/figures/paper2_fig4_loading_clogging_response.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS20_mechanistic_decoupling_matrix.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS21_observable_response_map.pdf,,Connectivity is measured on the reconstructed bed skeleton; pressure calibration is not included.,none
C04_time_resolved_leading_tail,Time-resolved data show delayed leading-tail breakthrough after front migration.,supported,manuscript_core,Results representative states; Supplementary Fig. S5,papers/paper2_voxel_topology_clogging/tables/paper2_front_migration_metrics_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_front_migration_events_source.csv; papers/paper2_voxel_topology_clogging/figures/paper2_figS5_front_migration_metrics.pdf,,Single representative time-resolved case.,none
C05_internal_source_retention,Internal-source release remains retention dominated and rare-front formation is separated from bulk release over the analyzed windows.,supported,supporting_mechanism,Results localized high-inventory release; Discussion; Supplementary Figs. S8-S10 and S19-S21,papers/paper2_voxel_topology_clogging/tables/explicit_localized_production_summary.csv; papers/paper2_voxel_topology_clogging/tables/explicit_localized_production_timeseries.csv; papers/paper2_voxel_topology_clogging/tables/paper2_localized_mechanism_axes.csv; papers/paper2_voxel_topology_clogging/tables/paper2_mechanistic_decoupling_matrix.csv; papers/paper2_voxel_topology_clogging/tables/paper2_observable_response_cases.csv; papers/paper2_voxel_topology_clogging/figures/paper2_figS8_explicit_localized_production_summary.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS10_source_position_comparison.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS19_localized_mechanism_axes.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS20_mechanistic_decoupling_matrix.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS21_observable_response_map.pdf,,"Three configured localized-release production rows reached their target times, including the 40 ms upstream case, the 10.05 ms downstream case and the 10.00 ms high-inventory case; still not a fitted source-position or source-strength law.",none
C05b_tail_lag_separates_mobile_tail_bulk_and_blockage,"Time-resolved tail-lag mining shows that the mobile leading tail, retained bulk and local blockage centre are separated state variables.",supported,supporting_mechanism,Discussion; Supplementary Fig. S28,papers/paper2_voxel_topology_clogging/tables/paper2_tail_lag_mechanism_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_tail_lag_event_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_time_resolved_deposition_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_908_spatial_quantiles.csv; papers/paper2_voxel_topology_clogging/tables/paper2_908_spatial_cdf_curves.csv; papers/paper2_voxel_topology_clogging/tables/paper2_fig7_localized_time_dynamics_source.csv; papers/paper2_voxel_topology_clogging/data/paper2_tail_lag_mechanism_mining.json; papers/paper2_voxel_topology_clogging/figures/paper2_figS28_tail_lag_mechanism_mining.pdf,,"Derived from existing time-resolved and spatial-quantile tables; not an experimentally calibrated residence-time distribution, not a universal tailing law and not a critical-clogging transition.",none
C05c_deposition_localization_relaxes_into_spreading,Axial deposition heterogeneity relaxes from an early localized filtration peak into broader downstream spreading while breakthrough remains weak.,supported,supporting_mechanism,Discussion; Supplementary Fig. S29,papers/paper2_voxel_topology_clogging/tables/paper2_deposition_heterogeneity_timeseries.csv; papers/paper2_voxel_topology_clogging/tables/paper2_deposition_heterogeneity_drive_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_time_resolved_blockage_profile_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_time_resolved_deposition_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_fig3_blockage_profiles_source.csv; papers/paper2_voxel_topology_clogging/data/paper2_deposition_heterogeneity_mining.json; papers/paper2_voxel_topology_clogging/figures/paper2_figS29_deposition_heterogeneity_mining.pdf,,"Derived from existing axial numerical blockage profiles; not pore-scale bridge statistics, not experimental imaging and not a universal clogging law.",none
C06_loading_increases_local_blockage,Increasing debris inventory raises local blockage but remains in a pre-clogging regime.,supported,manuscript_core,Results loading response; Fig. 5; Supplementary Figs. S20-S21,papers/paper2_voxel_topology_clogging/tables/paper2_fig4_loading_summary_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_fig4_loading_blockage_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_mechanistic_decoupling_matrix.csv; papers/paper2_voxel_topology_clogging/tables/paper2_observable_response_cases.csv; papers/paper2_voxel_topology_clogging/figures/paper2_fig4_loading_clogging_response.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS20_mechanistic_decoupling_matrix.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS21_observable_response_map.pdf,,Three single-seed loading states; not a monotonic universal loading law.,none
C07_pressure_proxy_small_response,"Ergun and scalar voxel-network pressure proxies predict small pressure/conductance changes, including bounded 3D resistance-amplification sensitivity.",bounded,supporting_mechanism,Methods pressure-free index; Results loading response; Supplement,papers/paper2_voxel_topology_clogging/supplementary/table_s6_pressure_proxy_summary.csv; papers/paper2_voxel_topology_clogging/supplementary/table_s7_voxel_pressure_pilot_summary.csv; papers/paper2_voxel_topology_clogging/supplementary/table_s9_cropped_flow_permeability_summary.csv; papers/paper2_voxel_topology_clogging/supplementary/table_s10_cropped_flow_permeability_sensitivity.csv; papers/paper2_voxel_topology_clogging/supplementary/table_s15_3d_resistance_amplification_sensitivity.csv; papers/paper2_voxel_topology_clogging/figures/paper2_figS15_cropped_flow_permeability_sensitivity.pdf; papers/paper2_voxel_topology_clogging/figures/paper2_figS22_3d_resistance_amplification_sensitivity.pdf,,"Reduced proxy only; not OpenFOAM CFD, not LBM, not measured pressure and not pressure-calibrated Ib.",none
C08_openfoam_pressure_returned,Returned cropped-domain OpenFOAM pressure evidence is available for the three peak-blockage handoff cases.,supported,supporting_mechanism,Current project status; manuscript boundary,papers/paper2_voxel_topology_clogging/data/paper2_openfoam_pressure_evidence_summary.json; papers/paper2_voxel_topology_clogging/data/paper2_openfoam_manuscript_snippet_gate.json; papers/paper2_voxel_topology_clogging/tables/paper2_openfoam_pressure_evidence_source.csv; papers/paper2_voxel_topology_clogging/tables/paper2_openfoam_pressure_screening_source.csv; papers/paper2_voxel_topology_clogging/figures/paper2_figS23_openfoam_pressure_evidence.pdf; papers/paper2_voxel_topology_clogging/notes/openfoam_manuscript_evidence_snippet.md,,"Returned OpenFOAM pressure drops are cropped-domain numerical evidence only; they are not experimental pressure validation, not a full blanket-scale flow solution and not a pressure-calibrated safety limit.",Use bounded OpenFOAM pressure wording and keep the non-validation boundary explicit.
